# Vitis BLAS gemv golden -- alpha/beta overload, yr = alpha*(M x) + beta*y
# IEEE-754 bit patterns
# columns: ab_index logParEntries case row yr_bits
# n_cases M N n_ab
4 4 64 6
0 2 0 0 1098626629
0 2 0 1 1099296456
0 2 0 2 1098143421
0 2 0 3 1099030968
0 2 1 0 3381945426
0 2 1 1 3384938865
0 2 1 2 3376052992
0 2 1 3 3387311538
0 2 2 0 1091258828
0 2 2 1 1091001144
0 2 2 2 3230731424
0 2 2 3 3238218392
0 2 3 0 3399692800
0 2 3 1 3406536247
0 2 3 2 1258211845
0 2 3 3 1257262413
1 2 0 0 1051929882
1 2 0 1 1059825233
1 2 0 2 1053953141
1 2 0 3 1060705548
1 2 1 0 1081025429
1 2 1 1 1208054352
1 2 1 2 3059390644
1 2 1 3 3206012506
1 2 2 0 3454912471
1 2 2 1 3463099711
1 2 2 2 3448272890
1 2 2 3 3473661069
1 2 3 0 807476659
1 2 3 1 773584067
1 2 3 2 791945913
1 2 3 3 821330382
2 2 0 0 1109080164
2 2 0 1 1109615764
2 2 0 2 1108754449
2 2 0 3 1109263272
2 2 1 0 3392765308
2 2 1 1 3397302404
2 2 1 2 3387496896
2 2 1 3 3398429581
2 2 2 0 1311921633
2 2 2 1 1320159215
2 2 2 2 1305261047
2 2 2 3 1330760404
2 2 3 0 3410755200
2 2 3 1 3417212357
2 2 3 2 1268727363
2 2 3 3 1268133968
3 2 0 0 1071042253
3 2 0 1 1072695859
3 2 0 2 1070807430
3 2 0 3 1072403125
3 2 1 0 3354225857
3 2 1 1 3353925457
3 2 1 2 3348442931
3 2 1 3 3359127501
3 2 2 0 3440290587
3 2 2 1 3448558374
3 2 2 2 3433284396
3 2 2 3 3458717046
3 2 3 0 3372387943
3 2 3 1 3378471819
3 2 3 2 1229706449
3 2 3 3 1228946903
4 2 0 0 1275428645
4 2 0 1 1283442471
4 2 0 2 1276936090
4 2 0 3 1284105633
4 2 1 0 1303522341
4 2 1 1 1430316015
4 2 1 2 3282231027
4 2 1 3 3428994370
4 2 2 0 3677432078
4 2 2 1 3685670655
4 2 2 2 3670760105
4 2 2 3 3696257264
4 2 3 0 1000889144
4 2 3 1 3182698815
4 2 3 2 1036814842
4 2 3 3 1048798950
5 2 0 0 3259083485
5 2 0 1 3259292385
5 2 0 2 3258568377
5 2 0 3 3258754366
5 2 1 0 1248928633
5 2 1 1 1253902299
5 2 1 2 1243055088
5 2 1 3 1253775512
5 2 2 0 3479591320
5 2 2 1 3487784853
5 2 2 2 3473159226
5 2 2 3 3498540457
5 2 3 0 1266981024
5 2 3 1 1273159961
5 2 3 2 3419341860
5 2 3 3 3418570447
0 3 0 0 1098626630
0 3 0 1 1099296456
0 3 0 2 1098143421
0 3 0 3 1099030968
0 3 1 0 3381945426
0 3 1 1 3384938865
0 3 1 2 3376052992
0 3 1 3 3387311538
0 3 2 0 1091258828
0 3 2 1 1091001144
0 3 2 2 3230731424
0 3 2 3 3238218392
0 3 3 0 3399692800
0 3 3 1 3406536247
0 3 3 2 1258211844
0 3 3 3 1257262413
1 3 0 0 1051929882
1 3 0 1 1059825233
1 3 0 2 1053953141
1 3 0 3 1060705548
1 3 1 0 1081025429
1 3 1 1 1208054352
1 3 1 2 3059390644
1 3 1 3 3206012506
1 3 2 0 3454912471
1 3 2 1 3463099711
1 3 2 2 3448272890
1 3 2 3 3473661069
1 3 3 0 807476659
1 3 3 1 773584067
1 3 3 2 791945913
1 3 3 3 821330382
2 3 0 0 1109080165
2 3 0 1 1109615764
2 3 0 2 1108754449
2 3 0 3 1109263272
2 3 1 0 3392765308
2 3 1 1 3397302404
2 3 1 2 3387496896
2 3 1 3 3398429581
2 3 2 0 1311921633
2 3 2 1 1320159215
2 3 2 2 1305261047
2 3 2 3 1330760404
2 3 3 0 3410755200
2 3 3 1 3417212357
2 3 3 2 1268727362
2 3 3 3 1268133968
3 3 0 0 1071042254
3 3 0 1 1072695859
3 3 0 2 1070807430
3 3 0 3 1072403125
3 3 1 0 3354225857
3 3 1 1 3353925457
3 3 1 2 3348442931
3 3 1 3 3359127501
3 3 2 0 3440290587
3 3 2 1 3448558374
3 3 2 2 3433284396
3 3 2 3 3458717046
3 3 3 0 3372387943
3 3 3 1 3378471819
3 3 3 2 1229706448
3 3 3 3 1228946903
4 3 0 0 1275428645
4 3 0 1 1283442471
4 3 0 2 1276936090
4 3 0 3 1284105633
4 3 1 0 1303522341
4 3 1 1 1430316015
4 3 1 2 3282231027
4 3 1 3 3428994370
4 3 2 0 3677432078
4 3 2 1 3685670655
4 3 2 2 3670760105
4 3 2 3 3696257264
4 3 3 0 1000889144
4 3 3 1 3182698815
4 3 3 2 1036814841
4 3 3 3 1048798950
5 3 0 0 3259083486
5 3 0 1 3259292385
5 3 0 2 3258568377
5 3 0 3 3258754366
5 3 1 0 1248928633
5 3 1 1 1253902299
5 3 1 2 1243055088
5 3 1 3 1253775512
5 3 2 0 3479591320
5 3 2 1 3487784853
5 3 2 2 3473159226
5 3 2 3 3498540457
5 3 3 0 1266981024
5 3 3 1 1273159961
5 3 3 2 3419341859
5 3 3 3 3418570447
0 4 0 0 1098626630
0 4 0 1 1099296456
0 4 0 2 1098143421
0 4 0 3 1099030968
0 4 1 0 3381945426
